descripcion,resolucion,procedimiento,ley,palabras_clave
Empleado denuncia horas extras no pagadas,Revisar contrato y pagar horas extras,- Verificar registros de horas extras. - Realizar pago retroactivo. - Ajustar procesos de registro.,Artículo 10 de la Ley 28806 (Jornada máxima),"horas extras, no pagadas, salario, compensación"
Trabajador despedido sin justificación,"Verificar razones del despido, buscar indemnización si es injustificado",- Revisar causas de despido. - Verificar documentación. - Iniciar proceso de indemnización.,Artículo 34 del DS 003-97-TR (Despido injustificado),"despido, sin justificación, despido injustificado, compensación"
Empleado denuncia acoso laboral,"Investigar la denuncia, tomar medidas disciplinarias si se confirma el acoso",- Recopilar testimonios. - Investigar confidencialmente. - Aplicar sanciones según reglamento.,Artículo 15 de la Ley 27942 (Acoso laboral),"acoso laboral, acoso, violencia, hostigamiento"
Conflicto por condiciones de trabajo inseguras,"Mejorar la seguridad en el trabajo, proporcionar equipo de protección",- Inspeccionar área de trabajo. - Proveer EPP. - Capacitar en seguridad.,Artículo 29 de la Ley 29783 (Seguridad y salud),"condiciones de trabajo, inseguro, peligro, seguridad"
Salario no pagado a tiempo,Verificar las fechas de pago acordadas y presentar queja ante la autoridad laboral si es necesario,- Verificar fechas de pago. - Pagar con intereses legales. - Denunciar a SUNAFIL si persiste.,Artículo 51 del DS 003-97-TR (Pago oportuno),"salario, no pagado, retraso, pago"
Empleado con bajo rendimiento debido a estrés laboral,"Proporcionar apoyo psicológico, reducir carga laboral",- Evaluar carga de trabajo. - Ofrecer apoyo psicológico. - Redistribuir tareas.,Artículo 29 de la Ley 29783 (Salud laboral),"estrés, bajo rendimiento, salud, trabajo, sobrecarga"
Empleado denuncia discriminación por género,"Tomar medidas inmediatas, implementar políticas de igualdad y sensibilización",- Investigar denuncia. - Sancionar si corresponde. - Capacitar en igualdad de género.,Artículo 26 de la Constitución (Igualdad),"discriminación, género, igualdad, trato desigual"
Conflicto por favoritismo en la asignación de tareas,"Investigar, garantizar una asignación de tareas justa y equitativa",- Revisar asignaciones. - Establecer criterios objetivos. - Capacitar a supervisores.,Artículo 22 del DS 003-97-TR (Igualdad en el trabajo),"favoritismo, tareas, desigualdad, injusto"
Empleado denuncia pelea con compañero,"Investigar el incidente, revisar las políticas de convivencia laboral",- Entrevistar a las partes. - Mediar en el conflicto. - Aplicar sanciones si corresponde.,Artículo 29 del DS 003-97-TR (Convivencia laboral),"pelea, conflicto, compañero, comportamiento"
Empleado denuncia que no se le permite tomar vacaciones,Revisar el contrato y las leyes laborales sobre vacaciones,- Verificar derecho vacacional. - Programar vacaciones pendientes. - Denunciar si hay negativa.,Artículo 15 de la Ley 29783 (Descanso vacacional),"vacaciones, no permitido, descanso, ley"
Conflicto por uso de teléfono móvil durante el trabajo,Revisar las políticas internas de la empresa sobre el uso de dispositivos móviles,- Comunicar políticas claras. - Aplicar sanciones progresivas. - Revisar casos excepcionales.,Reglamento Interno de Trabajo (Artículo 10),"teléfono, uso, trabajo, política"
Empleado acusado de robo de material,"Investigar el incidente, verificar pruebas y actuar conforme a reglamento",- Recopilar evidencias. - Escuchar al acusado. - Aplicar sanciones según gravedad.,Artículo 168 del Código Penal (Robo),"robo, material, oficina, sanción, investigación"
Despido por razones políticas,Verificar si el despido es legal y conforme a la normativa vigente,- Revisar motivos del despido. - Verificar discriminación política. - Denunciar a SUNAFIL si aplica.,Artículo 3 de la Ley 26772 (No discriminación política),"despido, razones políticas, derechos, injustificado"
Discriminación por raza,"Investigar y aplicar sanciones, promover sensibilización",- Investigar denuncia. - Sancionar conductas discriminatorias. - Implementar talleres de sensibilización.,Artículo 26 de la Constitución (Igualdad),"discriminación, raza, igualdad, trato desigual"
No pago de comisiones por ventas,Verificar contrato y pagar comisiones si corresponde,- Revisar acuerdos de comisiones. - Liquidar montos adeudados. - Denunciar si no se regulariza.,Artículo 51 del DS 003-97-TR (Pago de remuneraciones),"comisiones, ventas, no pagadas, salario"
Problema con el horario de trabajo flexible,Ajustar horario conforme a contrato y políticas internas,- Revisar acuerdo contractual. - Negociar ajustes razonables. - Documentar cambios.,Artículo 10 de la Ley 30036 (Trabajo flexible),"horario, flexible, cambio, contrato"
Empleado con enfermedad crónica,Ofrecer adaptaciones razonables y opciones de trabajo adecuado,- Evaluar condición médica. - Implementar adaptaciones. - Monitorear progreso.,Artículo 29 de la Ley 29783 (Adaptaciones razonables),"bajo rendimiento, enfermedad, adaptación, salud"
Pago por enfermedad no recibido,Verificar derecho a compensación y realizar el pago correspondiente,- Validar certificado médico. - Calcular subsidio. - Gestionar pago con ESSALUD.,Artículo 23 del DS 006-97-TR (Subsidios por enfermedad),"pago, enfermedad, compensación, salario"
Aumento de salario no cumplido,"Revisar contrato y promesas, pagar si corresponde",- Verificar acuerdos documentados. - Liquidar diferencia salarial. - Denunciar incumplimiento.,Artículo 41 del Código Civil (Cumplimiento de contratos),"aumento, salario, contrato, incumplimiento"
Evaluación de desempeño injusta,"Revisar evaluación, ofrecer retroalimentación y ajustar si es necesario",- Analizar criterios de evaluación. - Solicitar reconsideración. - Capacitar evaluadores.,Artículo 22 del DS 003-97-TR (Igualdad en evaluaciones),"evaluación, desempeño, retroalimentación, justicia"
Obligación de trabajar más horas de las pactadas,Revisar contrato y leyes laborales,- Verificar jornada contractual. - Pagar horas extras. - Denunciar abusos.,Artículo 10 de la Ley 28806 (Jornada máxima),"trabajo, horas extras, contrato, obligación"
Retiro injustificado de equipo de trabajo,Investigar y restituir equipo si corresponde,- Solicitar explicación por escrito. - Reponer herramientas. - Sancionar retiros arbitrarios.,Artículo 38 de la Ley 29783 (Herramientas de trabajo),"equipo, trabajo, material, justificación"
Diferencias en el trato entre jefes y empleados,Investigar relación y capacitar en liderazgo y comunicación,- Realizar diagnóstico organizacional. - Implementar talleres de liderazgo. - Establecer canales de denuncia.,Artículo 22 del DS 003-97-TR (Igualdad de trato),"trato, jefe, empleado, conflicto, comunicación"
Violación de privacidad,Investigar y tomar medidas disciplinarias,- Recopilar evidencias. - Sancionar a responsables. - Reforzar políticas de confidencialidad.,Artículo 2 de la Constitución (Derecho a privacidad),"privacidad, derecho, confidencialidad"
Falta de transparencia en decisiones empresariales,Implementar políticas de transparencia y comunicación,- Crear comité de transparencia. - Publicar decisiones clave. - Habilitar buzón de sugerencias.,Artículo 6 de la Ley 27806 (Transparencia),"transparencia, decisiones, comunicación, empresa"
Tarea mal asignada,Revisar proceso y asignar equitativamente,- Evaluar perfiles de puesto. - Redistribuir carga laboral. - Capacitar en asignación justa.,Artículo 22 del DS 003-97-TR (Igualdad en asignación),"tareas, asignación, conflicto, trabajo"
Acoso sexual por parte de un compañero,"Investigar y sancionar, brindar apoyo a la víctima",- Activar protocolo de acoso. - Separar agresor. - Ofrecer acompañamiento psicológico.,Artículo 15 de la Ley 27942 (Acoso sexual),"acoso sexual, compañero, trabajo, medidas disciplinarias"
Ideas del empleado no son valoradas,Fomentar participación y ambiente colaborativo,- Implementar sistema de sugerencias. - Reconocer contribuciones. - Promover reuniones participativas.,Artículo 22 del DS 003-97-TR (Participación laboral),"ideas, participación, trabajo, empresa"
Incumplimiento de contrato temporal,Revisar y garantizar cumplimiento del contrato,- Verificar cláusulas contractuales. - Exigir cumplimiento. - Denunciar ante SUNAT si persiste.,Artículo 52 del Código Civil (Cumplimiento de contratos),"contrato, temporal, incumplimiento, trabajo"
Solicitud de licencia por maternidad ignorada,Revisar políticas y garantizar cumplimiento de ley,- Validar derecho a licencia. - Otorgar licencia inmediata. - Sancionar retrasos.,Artículo 6 de la Ley 26644 (Licencia por maternidad),"licencia, maternidad, solicitud, trabajo"
Despido por faltas sin justificación,Verificar normas internas y cumplimiento de procedimiento,- Revisar registro de faltas. - Verificar procedimiento. - Impugnar despido si es injusto.,Artículo 34 del DS 003-97-TR (Despido injustificado),"despido, faltas, ausencias, políticas"
Conflicto por horario de descanso,Revisar y ajustar si es necesario según contrato,- Verificar jornada legal. - Ajustar horarios. - Garantizar descansos mínimos.,Artículo 25 de la Ley 28806 (Descanso laboral),"descanso, horario, conflicto, trabajo"
Problemas de salud que impiden trabajar presencialmente,Ofrecer teletrabajo o ajuste razonable,- Evaluar certificado médico. - Implementar teletrabajo. - Monitorear adaptación.,Artículo 29 de la Ley 29783 (Adaptaciones razonables),"salud, trabajo, ajuste, teletrabajo"
Falta de recursos en el área de trabajo,Proveer recursos necesarios para eficiencia,- Identificar necesidades. - Presupuestar recursos. - Establecer protocolo de solicitudes.,Artículo 38 de la Ley 29783 (Herramientas de trabajo),"recursos, trabajo, equipo, insuficiente"
Acoso verbal por parte de compañero,Sancionar y brindar apoyo psicológico,- Grabar incidentes (si aplica). - Aplicar sanciones. - Ofrecer terapia.,Artículo 15 de la Ley 27942 (Acoso laboral),"acoso verbal, compañero, trabajo, medidas disciplinarias"
Descanso insuficiente entre turnos,Revisar y ajustar períodos de descanso,- Calcular horas entre turnos. - Ajustar programación. - Fiscalizar cumplimiento.,Artículo 25 de la Ley 28806 (Descanso entre jornadas),"descanso, turno, tiempo, salud"
Acusación de mala conducta sin pruebas,Investigar y asegurar debido proceso,- Solicitar evidencias. - Escuchar al acusado. - Absolver si no hay pruebas.,Artículo 139 de la Constitución (Debido proceso),"mala conducta, acusación, pruebas, investigación"
Falta de equipo para realizar el trabajo,Proveer herramientas necesarias,- Listar equipos faltantes. - Priorizar adquisiciones. - Implementar sistema de mantenimiento.,Artículo 38 de la Ley 29783 (Derecho a herramientas),"equipo, trabajo, herramientas, recursos"
Evaluación de desempeño con trato desigual,Garantizar justicia y equidad en evaluaciones,- Auditar criterios de evaluación. - Capacitar evaluadores. - Establecer apelaciones.,Artículo 22 del DS 003-97-TR (Igualdad en evaluaciones),"evaluación, desempeño, justicia, equidad"
Asignación de tareas sin considerar experiencia,Asignar tareas según habilidades y experiencia,- Mapear habilidades del equipo. - Redistribuir tareas. - Implementar sistema de mentoría.,Artículo 22 del DS 003-97-TR (Igualdad en asignación),"tareas, asignación, experiencia, equidad"
Empleado con sobrecarga y estrés,Redistribuir tareas y ofrecer apoyo psicológico,- Medir carga laboral. - Redistribuir funciones. - Ofrecer terapias.,Artículo 29 de la Ley 29783 (Salud laboral),"sobrecarga, estrés, salud, distribución"
Despido por acusación falsa,Investigar antes de aplicar sanción,- Verificar pruebas. - Escuchar al empleado. - Reintegrar si es inocente.,Artículo 34 del DS 003-97-TR (Despido injustificado),"despido, acusación falsa, injustificado, investigación"
Falta de respuesta a solicitud de transferencia,Revisar proceso y dar respuesta oportuna,- Establecer plazos de respuesta. - Justificar negativas. - Crear sistema de seguimiento.,Artículo 22 del DS 003-97-TR (Movilidad interna),"transferencia, interna, solicitud, respuesta"
Empleado solicita cambio de turno por cuidado de familiar enfermo,Ajustar horario temporalmente según necesidades,- Validar documentación médica. - Negociar horario flexible. - Monitorear situación.,Artículo 16 de la Ley 29571 (Conciliación familiar),"cuidado familiar, horario flexible, adaptación"
Trabajador exige copia física de su contrato firmado,Entregar copia del contrato dentro de 48 horas,- Localizar documento en archivos. - Proporcionar copia autenticada. - Registrar entrega.,Artículo 42 del DS 003-97-TR (Derecho a documentación),"contrato, copia, transparencia, derechos"
Conflicto por uso exclusivo de estacionamiento para gerentes,Implementar sistema rotativo de estacionamiento,- Diagnosticar espacios disponibles. - Crear política inclusiva. - Comunicar cambios.,Artículo 7 de la Ley 29981 (No discriminación en beneficios),"estacionamiento, privilegios, equidad"
Empleado reclama pago diferencial por trabajar días feriados,Calcular y pagar recargo feriado pendiente,- Verificar calendario laboral. - Liquidar diferencias. - Ajustar sistema de nómina.,Artículo 13 de la Ley 27671 (Trabajo en feriados),"feriados, pago diferencial, recargos"
Denuncia por exigencia de firma de documento en blanco,Anular documento y sancionar responsable,- Investigar práctica irregular. - Capacitar en ética laboral. - Implementar controles.,Artículo 168-B del Código Penal (Falsedad documental),"documento en blanco, fraude, ética"
Queja por prohibición de ingreso de alimentos al área de trabajo,Permitir ingreso de alimentos en zona designada,- Habilitar espacio comedor. - Modificar reglamento interno. - Comunicar cambios.,Artículo 21 de la Ley 30036 (Derechos básicos),"alimentos, prohibición, bienestar laboral"
Reclamo por asignación de uniforme en mal estado,Proveer uniforme nuevo acorde a normas,- Evaluar estado actual. - Renovar vestuario. - Establecer protocolo de reposición.,Artículo 38 de la Ley 29783 (Equipamiento adecuado),"uniforme, condiciones, higiene"
Conflicto por cambio unilateral de funciones,Restituir funciones originales o negociar cambio,- Revisar descripción de puesto. - Mediar acuerdo bilateral. - Actualizar contrato.,Artículo 23 del DS 003-97-TR (Modificación contractual),"cambio de funciones, unilateral, acuerdo"
Empleado denuncia sustracción de pertenencias personales,Investigar y reponer objetos sustraídos,- Revisar cámaras de seguridad. - Sancionar responsable. - Implementar lockers.,Artículo 185 del Código Penal (Hurto),"pertenencias, robo, seguridad personal"
Queja por falta de agua potable en área de trabajo,Instalar dispensadores de agua inmediatamente,- Verificar suministro. - Proveer filtros o bidones. - Fiscalizar calidad.,Artículo 29 de la Ley 29783 (Salud ocupacional),"agua potable, condiciones básicas, higiene"
Demanda por no reconocimiento de título profesional,Actualizar registros y pagar diferencia salarial,- Verificar certificados. - Ajustar categoría laboral. - Pagar retroactivos.,Artículo 24 de la Ley 29944 (Reconocimiento de estudios),"título profesional, categoría, remuneración"
Conflicto por negativa a días libres para exámenes médicos,Garantizar permisos para controles de salud,- Validar citas médicas. - Programar suplencias. - Registrar como permiso pagado.,Artículo 25 de la Ley 29783 (Prevención en salud),"exámenes médicos, permisos, salud"
Reclamo por exposición a temperaturas extremas sin protección,Adecuar ambiente térmico y proveer equipos,- Medir condiciones ambientales. - Instalar ventilación/calefacción. - Entregar EPP especializado.,Artículo 84 del Reglamento de Seguridad y Salud,"temperaturas extremas, protección, ambiente"
Denuncia por manipulación de registro de asistencia,Auditar sistema y corregir irregularidades,- Revisar registros digitales. - Sancionar alteraciones. - Implementar sistema biométrico.,Artículo 37 de la Ley 27444 (Alteración de registros),"asistencia, registro, manipulación"
Conflicto por negativa a certificado de trabajo,Emitir certificado dentro de plazo legal,- Generar documento estándar. - Firmar por autoridad competente. - Entregar en 3 días hábiles.,Artículo 47 del DS 003-97-TR (Derecho a certificación),"certificado, trabajo, constancia"
Empleado extranjero denuncia retención de documentos,Devolver pasaporte y documentos inmediatamente,- Verificar custodia irregular. - Restituir documentos. - Capacitar en derechos migratorios.,Artículo 15 de la Ley 30001 (Migraciones laborales),"documentos, retención, extranjero"
Queja por falta de sillas ergonómicas en área administrativa,Proveer mobiliario adecuado en 72 horas,- Evaluar necesidades por puesto. - Adquirir mobiliario certificado. - Implementar rotación.,Artículo 29 de la Ley 29783 (Ergonomía laboral),"sillas, ergonomía, condiciones"
Reclamo por asignación de computadora obsoleta,Renovar equipo según estándares tecnológicos,- Diagnosticar estado actual. - Priorizar reposición. - Establecer ciclo de renovación.,Artículo 38 de la Ley 29783 (Herramientas adecuadas),"computadora, tecnología, obsolescencia"
Conflicto por prohibición de sindicalización,Cesar interferencia y permitir libre asociación,- Derogar cláusulas restrictivas. - Facilitar espacio para reuniones. - Capacitar en derechos sindicales.,Artículo 28 de la Constitución (Libertad sindical),"sindicato, prohibición, derechos"
Denuncia por cobro ilegal por uniformes,Reembolsar montos cobrados indebidamente,- Verificar políticas de vestuario. - Devolver pagos ilegales. - Ajustar procedimientos.,Artículo 12 de la Ley 27912 (Gratuidad de implementos),"uniforme, cobro ilegal, reembolso"
Empleado denuncia exigencia de trabajo en día de descanso semanal,Respetar descanso y pagar extras si laboró,- Verificar calendario. - Compensar con día adicional o pago. - Sancionar prácticas abusivas.,Artículo 7 de la Ley 27269 (Descanso semanal),"descanso, obligación, compensación"
Queja por falta de protocolo para emergencias médicas,Implementar manual de primeros auxilios,- Designar brigadistas. - Instalar botiquines. - Realizar simulacros trimestrales.,Artículo 59 del Reglamento de Seguridad y Salud,"emergencias, protocolo, primeros auxilios"
Reclamo por humedad en áreas de trabajo,Realizar mantenimiento correctivo inmediato,- Evaluar filtraciones. - Reparar infraestructura. - Monitorear condiciones.,Artículo 29 de la Ley 29783 (Ambiente saludable),"humedad, infraestructura, mantenimiento"
Conflicto por asignación de oficina sin ventilación,Reubicar o instalar sistema de ventilación,- Medir calidad del aire. - Priorizar reubicación. - Implementar solución temporal.,Norma OSINERGMIN 050-2013 (Ventilación),"ventilación, oficina, condiciones"
Denuncia por uso de cámaras en áreas de descanso,Retirar cámaras de espacios personales,- Mapear dispositivos. - Eliminar cámaras en baños/comedores. - Ajustar política de vigilancia.,Artículo 2 de la Constitución (Intimidad),"cámaras, privacidad, vigilancia"
Empleado denuncia exigencia de metas imposibles,Revisar y ajustar indicadores de desempeño,- Evaluar viabilidad de metas. - Negociar objetivos realistas. - Capacitar en gestión por resultados.,Artículo 22 del DS 003-97-TR (Exigencias razonables),"metas, presión laboral, indicadores"
Queja por falta de traductores para empleados con discapacidad auditiva,Contratar intérprete de señas o tecnología,- Evaluar necesidades. - Implementar soluciones de accesibilidad. - Capacitar al personal.,Artículo 29 de la Ley 29973 (Inclusión laboral),"discapacidad, accesibilidad, inclusión"
Reclamo por cancelación abrupta de seguro médico,Restituir cobertura y pagar tratamientos pendientes,- Verificar contrato de seguro. - Regularizar pagos. - Compensar afectados.,Artículo 31 de la Ley 26790 (Seguro complementario),"seguro médico, cancelación, salud"
Conflicto por negativa a días de duelo,Otorgar permiso por fallecimiento de familiar,- Validar documentación. - Aplicar política de duelo. - Ofrecer apoyo psicológico.,Artículo 21 del DS 003-97-TR (Permisos por duelo),"duelo, permiso, apoyo emocional"
Denuncia por asignación de vehículo en mal estado,Proveer unidad en condiciones óptimas,- Realizar inspección técnica. - Reparar o reemplazar. - Establecer mantenimiento preventivo.,Artículo 38 de la Ley 29783 (Seguridad en herramientas),"vehículo, mantenimiento, seguridad"
Empleado denuncia difusión de rumores falsos,Sancionar acoso psicológico y reparar daño,- Investigar origen de rumores. - Aplicar medidas disciplinarias. - Realizar taller de convivencia.,Artículo 15 de la Ley 27942 (Hostigamiento laboral),"rumores, acoso psicológico, reputación"
Queja por falta de programa de capacitación,Implementar plan anual de desarrollo,- Diagnosticar necesidades. - Diseñar programa formativo. - Asignar presupuesto.,Artículo 22 del DS 003-97-TR (Derecho a capacitación),"capacitación, desarrollo, habilidades"
Reclamo por retención de bono por renuncia,Pagar beneficios pendientes inmediatamente,- Verificar políticas de bonos. - Liquidar montos adeudados. - Ajustar reglamento.,Artículo 51 del DS 003-97-TR (Pago de beneficios),"bono, renuncia, liquidación"
Conflicto por exigencia de contrato de confidencialidad excesivo,Revisar y ajustar cláusulas abusivas,- Analizar contrato con asesoría legal. - Negociar términos razonables. - Capacitar en propiedad intelectual.,Artículo 1362 del Código Civil (Abuso de derecho),"confidencialidad, cláusulas, exceso"
Denuncia por falta de protección contra radiación solar,Proveer bloqueadores y equipos de sombra,- Evaluar exposición. - Distribuir EPP contra radiación. - Rotar personal expuesto.,Norma OSINERGMIN 050-2013 (Protección solar),"radiación, protección, salud"
Empleado denuncia cobro por capacitación obligatoria,Reembolsar montos y eliminar práctica,- Verificar pagos irregulares. - Devolver dinero. - Establecer capacitaciones gratuitas.,Artículo 22 del DS 003-97-TR (Capacitación gratuita),"capacitación, cobro, reembolso"
Queja por falta de política de home office,Implementar programa piloto de teletrabajo,- Diagnosticar puestos aplicables. - Diseñar protocolo. - Proveer tecnología necesaria.,Artículo 6 de la Ley 30036 (Teletrabajo),"home office, flexibilidad, tecnología"
